rw,r,Tu,Hu,Tl,Hl,L,Kw,y
0.095622264,39079.69,108015.414,1012.88763,95.08284,790.0603,1479.3654,11061.956,47.640713
0.07704872,33665.484,96886.87,1060.8369,113.6161,712.1821,1568.6472,11077.189,45.807877
0.12679446,41945.82,82291.63,1096.9004,86.34025,795.49176,1609.6096,11125.881,104.37073
0.14412221,20303.54,78196.19,1056.4194,73.933105,771.4398,1326.0942,11777.389,162.74873
0.09298674,9209.892,114079.414,1063.1737,95.643394,763.3063,1153.1953,11100.963,78.020515
0.09884563,4412.195,84262.18,1093.9762,65.708855,801.81036,1125.8583,12016.905,94.9131
0.11476318,24700.002,77987.47,999.67194,95.07389,800.336,1229.3285,11429.22,76.07893
0.07142541,830.69196,115588.76,1014.5626,84.90185,768.43036,1411.9524,10022.367,27.945211
0.13892366,17592.178,71424.586,1093.1964,72.98156,716.8788,1352.668,11429.959,190.30083
0.08442146,21670.604,94036.125,1017.4046,68.00757,742.0641,1604.7048,10909.971,41.728233
0.079013355,19449.191,94814.86,1045.498,100.97099,752.0669,1208.5515,11817.796,56.06605
0.10802839,31095.379,93053.32,1028.5957,72.24934,807.7794,1267.8792,11527.365,72.93159
0.13020638,45548.484,97613.11,996.48047,88.04813,714.4756,1217.5931,11117.9795,135.6263
0.09485221,45784.863,71367.38,1030.8688,83.67759,749.4532,1214.2225,10915.135,71.053
0.12315694,37956.24,96593.72,1023.1577,96.32777,705.84735,1534.9918,10176.573,99.583885
0.11957416,11139.627,88714.7,1065.211,104.32475,740.1221,1173.0135,10943.836,135.24594
0.12994896,42387.316,85163.22,1046.341,86.642715,816.9838,1334.1669,11309.812,102.07454
0.07971042,2417.9434,72615.84,1093.007,105.364525,757.6181,1187.3154,10205.274,57.38859
0.086555265,6216.4077,92059.56,1005.8818,108.60755,742.9357,1451.3058,11051.639,46.988995
0.1161586,43290.676,107914.29,1018.8759,70.60502,748.8921,1177.8073,10864.859,104.388794
0.13392892,43533.38,67565.36,1100.8075,65.39822,754.46356,1653.5775,11557.329,134.7668
0.11266683,10843.705,109137.28,1081.9739,102.30283,778.3008,1170.2228,10687.847,109.88864
0.06446565,32085.938,67945.35,1068.783,104.09279,779.1413,1471.7069,10000.128,25.649483
0.11124228,34592.566,72849.125,1099.3308,104.93466,772.8848,1421.4515,10058.836,89.336205
0.07788877,40769.344,82778.45,999.60986,78.94567,819.7975,1529.293,10264.462,22.924026
0.13220222,13139.011,92305.57,1011.9703,70.56412,796.76526,1542.3446,9920.552,75.312775
0.13646878,24783.004,83484.766,992.489,106.04316,712.0383,1673.408,10884.357,105.99288
0.09014869,33103.242,115568.86,1022.5512,86.49079,802.8101,1371.0109,10083.427,41.079697
0.116007134,17964.576,114381.17,1074.4374,71.04223,787.07074,1542.5681,12017.972,93.82685
0.051230337,12701.766,94703.914,1044.4584,109.20517,761.7666,1657.879,11979.933,16.824816
0.12295171,34252.574,73900.46,1093.1337,71.38622,733.6736,1528.8223,10840.629,119.920746
0.14337626,24718.535,89326.32,1042.9216,66.20812,714.841,1331.7228,10221.224,160.31508
0.07525183,23816.945,93636.86,1048.9249,113.60815,816.2101,1346.5586,11443.595,35.089767
0.11818079,18956.385,105391.92,1015.1382,76.73172,799.15576,1363.5969,11223.273,77.30563
0.102939464,9727.75,90754.984,1109.6233,103.344635,798.06995,1335.215,11980.428,92.57249
0.121419564,32234.693,109757.42,1106.409,84.33633,727.247,1361.8053,10013.693,128.10219
0.13024476,46491.523,68192.55,1093.0194,109.89574,745.9348,1644.9528,11512.632,128.56804
0.0650802,5370.4277,97157.875,1088.7043,81.34638,730.52637,1503.066,10519.114,33.28527
0.14692143,33640.47,87546.96,1045.8043,115.70764,729.50635,1647.7732,10509.28,135.80351
0.068247676,42568.055,106384.31,1084.6881,97.17617,710.7558,1326.2874,10375.136,42.69615
0.13923083,16943.84,95663.14,1099.0975,73.104195,787.31616,1153.7789,10065.343,163.4293
0.05905367,33751.12,64100.98,1101.3936,95.809685,785.3697,1636.7606,9956.92,21.031273
0.09422905,7960.6187,85699.48,1075.6808,85.904465,739.9485,1151.9872,11647.385,94.12914
0.080902174,15190.782,76680.805,1103.109,78.7976,767.8829,1583.0854,10223.32,44.369263
0.13266435,22202.844,100962.695,1050.9297,72.45397,794.2504,1652.5325,11997.564,101.954666
0.089580685,19695.133,106033.67,1057.3309,96.27011,718.019,1198.3567,10717.056,76.15156
0.09211666,25075.457,90029.64,1074.7767,69.90102,738.7442,1332.5112,10941.864,73.10139
0.13009064,23984.945,107040.85,1099.1193,106.73958,733.07275,1125.1083,11031.144,189.02829
0.09135623,43967.156,89882.8,1085.3885,102.02319,748.6498,1666.0763,10276.329,54.278732
0.120304115,28165.326,112080.42,1109.8265,93.872856,809.58044,1378.8063,11879.777,116.664444
0.05433698,37829.797,90581.11,1013.4707,108.81619,715.16943,1143.1681,11400.737,27.544071
0.14824894,18068.994,102752.92,1029.4602,87.59751,706.19324,1151.8064,11146.828,212.97565
0.11786857,1717.8739,74431.195,1029.0731,96.60868,803.4996,1216.0397,9878.203,79.53093
0.085213944,28384.31,64119.348,1099.9818,73.12954,742.4464,1289.2361,11656.325,73.32376
0.118983015,32815.25,89056.38,1048.8215,111.38117,787.08997,1277.9343,10108.683,91.50233
0.06991149,22165.006,77947.89,1006.9297,97.93322,776.9355,1351.2251,10919.206,28.465445
0.064139456,11494.085,77625.84,1061.0294,88.06505,704.74994,1677.2509,11190.422,30.663435
0.1083902,46804.113,94105.86,1063.4923,95.94258,713.37823,1665.555,10731.372,82.83542
0.05573422,30615.348,67095.64,1085.1007,79.455894,703.8699,1305.8973,11005.084,31.28387
0.10129881,27928.56,100307.055,1037.6364,114.64349,733.8567,1628.8364,10613.525,63.579037
0.12521592,14470.114,95146.984,1045.2922,78.022896,749.32697,1276.7174,11773.172,132.99608
0.07206427,18141.018,82665.26,1037.5122,63.72606,813.2162,1468.4999,10158.194,25.225124
0.07167569,25505.957,66860.77,1091.5498,99.35376,766.01337,1234.5804,10515.394,44.624863
0.1078448,3883.4187,77902.82,1050.002,69.239075,758.9906,1504.38,11385.406,79.93925
0.111259446,8726.31,69639.75,1048.5099,92.60596,703.8191,1519.5032,10398.596,91.26212
0.083171435,36654.883,111291.734,1107.6528,89.87735,732.58765,1416.9703,10997.086,63.014153
